GEOID,NAME,variable,estimate,moe,year
19,Iowa,B01001_001,2978880,0,2009
19,Iowa,B01001I_001,122103,223,2009
19,Iowa,B01001_001,3016267,NA,2010
19,Iowa,B01001I_001,136932,146,2010
19,Iowa,B01001_001,3032266,NA,2011
19,Iowa,B01001I_001,144158,127,2011
19,Iowa,B01001_001,3047646,NA,2012
19,Iowa,B01001I_001,151027,150,2012
19,Iowa,B01001_001,3062553,NA,2013
19,Iowa,B01001I_001,157711,106,2013
19,Iowa,B01001_001,3078116,NA,2014
19,Iowa,B01001I_001,163110,126,2014
19,Iowa,B01001_001,3093526,NA,2015
19,Iowa,B01001I_001,168230,124,2015
19,Iowa,B01001_001,3106589,NA,2016
19,Iowa,B01001I_001,172707,72,2016
19,Iowa,B01001_001,3118102,NA,2017
19,Iowa,B01001I_001,178294,190,2017
19,Iowa,B01001_001,3132499,NA,2018
19,Iowa,B01001I_001,183296,221,2018
19,Iowa,B01001_001,3139508,NA,2019
19,Iowa,B01001I_001,188311,135,2019
